doctrine,definition
María Clara doctrine,"The María Clara doctrine, also known as the Woman's Honor doctrine, is a legal doctrine applied by Philippine courts regarding cases that concern abuse against women. The doctrine is a presumption ""that women, especially Filipinas, would not admit that they have been abused unless that abuse had actually happened."" It was a part of case law in the Philippines for some considerable time but was repudiated by the Supreme Court of the Philippines in 2018."
Market share liability,"Market share liability is a legal doctrine that allows a plaintiff to establish a prima facie case against a group of product manufacturers for an injury caused by a product, even when the plaintiff does not know from which defendant the product originated. The doctrine is unique to the law of the United States and apportions liability among the manufacturers according to their share of the market for the product giving rise to the plaintiff's injury."
Mater semper certa est,"In Roman law, mater semper certa est (from Latin: ""the mother is always certain"") is a legal principle which has the power of praesumptio iuris et de iure (""presumption of law and by law""), meaning that no counter-evidence can be made against this principle. It provides that the mother of the child is conclusively established, from the moment of birth, by the mother's role in the birth. 
Since egg donation, or embryo donation with surrogacy, started using the technique of in-vitro fertilization, the principle of mater semper certa est has been shaken, since a child may have a genetic and a gestational (""birth""), let alone a ""social"", mother who are different individuals. Since then some countries have converted the old natural law to an equivalent codified law; in 1997 Germany introduced paragraph 1591 Mutterschaft (""motherhood"") of the BGB (civil code) reading Mutter eines Kindes ist die Frau, die es geboren hat (""the mother of a child is the woman who gave birth to it""). This has also been tested in the British case of Freddy McConnell.
The Roman law principle, however, does not stop at the mother, in fact it continues with pater semper incertus est (""The father is always uncertain""). This was regulated by the law of pater est, quem nuptiae demonstrant (""the father is he to whom marriage points""; see presumption of legitimacy). Essentially paternity fraud had originally been a marriage fraud in the civil code due to this principle. Today some married fathers use the modern tools of DNA testing to ensure a certainty on their fatherhood."
Maxims of equity,"Maxims of equity are legal maxims that serve as a set of general principles or rules which are said to govern the way in which equity operates. They tend to illustrate the qualities of equity, in contrast to the common law, as a more flexible, responsive approach to the needs of the individual, inclined to take into account the parties' conduct and worthiness. They were developed by the English Court of Chancery and other courts that administer equity jurisdiction, including the law of trusts. Although the most fundamental and time honored of the maxims, listed on this page, are often referred to on their own as the 'maxims of equity' or 'the equitable maxims', it cannot be said that there is a definitive list of them. Like other kinds of legal maxims or principles, they were originally, and sometimes still are, expressed in Latin."
Maxwellisation,"Maxwellisation is the legal practice in English and Scots law that allows anyone who is criticised in an official report to respond prior to publication, based on details of the criticism received in advance.
The process takes its name from the publisher Robert Maxwell. In 1969, Maxwell was criticised in a report by the Department of Trade and Industry (DTI) as ""unfit to hold the stewardship of a public company"". Maxwell took the matter to court, where the DTI was said by the judge to have ""virtually committed the business murder"" of Maxwell. To avoid any repeat following the ruling, official policy was altered to ensure that prior notice would be given of critical findings. Relevant witnesses are shown the specific extracts of reports relating to them."
Medical necessity,"Medical necessity is a legal doctrine in the United States related to activities that may be justified as reasonable, necessary, and/or appropriate based on evidence-based clinical standards of care. In contrast, unnecessary health care lacks such justification.
Other countries may have medical doctrines or legal rules covering broadly similar grounds. The term clinical medical necessity is also used."
Meeting of the minds,"Meeting of the minds (also referred to as mutual agreement, mutual assent, or consensus ad idem) is a phrase in contract law used to describe the intentions of the parties forming the contract. In particular, it refers to the situation where there is a common understanding in the formation of the contract. Formation of a contract is initiated with a proposal or offer. This condition or element is considered a requirement to the formation of a contract in some jurisdictions.

"
Merger doctrine (civil procedure),"The merger doctrine in civil procedure stands for the proposition that when litigants agree to a settlement, and then seek to have their settlement incorporated into a court order, the court order actually extinguishes the settlement and replaces it with the authority of the court to supervise the behavior of the parties. Under this doctrine, the court is free to modify its order as necessary to achieve justice in the case, and may hold a party that breaches the agreement in contempt of court.
In U.S criminal law, merger doctrine holds that if a defendant has committed acts that simultaneously meet the elements of a more serious and less serious offense, the defendant may be charged with the more serious offense and the lesser offense drops in order to avoid implicating double jeopardy."
Merger doctrine (copyright law),"The idea–expression distinction or idea–expression dichotomy is a legal doctrine in the United States that limits the scope of copyright protection by differentiating an idea from the expression or manifestation of that idea.
Unlike patents, which may confer proprietary rights in relation to general ideas and concepts per se when construed as methods, copyrights cannot confer such rights.  An adventure novel provides an illustration of the concept. Copyright may subsist in the work as a whole, in the particular story or characters involved, or in any artwork contained in the book, but generally not in the idea or genre of the story. Copyright, therefore, may not subsist in the idea of a man venturing out on a quest, but may subsist in a particular story that follows that pattern. Similarly, if the methods or processes described in a work are patentable, they may be the subject of various patent claims, which may or may not be broad enough to cover other methods or processes based on the same idea. Arthur C. Clarke, for example, sufficiently described the concept of a communications satellite (a geostationary satellite used as a telecommunications relay) in a 1945 paper that was not considered patentable in 1954 when it was developed at Bell Labs."
Merger doctrine (family law),"Historically, the merger doctrine (a.k.a. ""doctrine of merger"") was the notion that marriage caused a woman's legal identity to merge with that of her husband.
Thus, a woman could not sue or testify against her husband any more than he could sue or testify against himself. Since her identity had merged with his, the two were now considered one legal entity."
Merger doctrine (property law),"In the law of real property, the merger doctrine stands for the proposition that the contract for the conveyance of property merges into the deed of conveyance; therefore, any guarantees made in the contract that are not reflected in the deed are extinguished when the deed is conveyed to the buyer of the property.

"
Merger doctrine (trust law),"In trust law the term ""doctrine of merger"" refers to the fusing of legal and equitable title in the event the same person becomes both the sole trustee and the sole beneficiary of a trust. In such a case, the trust is sometimes deemed to have terminated (with the result that the beneficiary owns the trust property outright)."
Mirror image rule,"In the law of contracts, the mirror image rule, also referred to as an unequivocal and absolute acceptance requirement, states that an offer must be accepted exactly with no modifications. The offeror is the master of his own offer. An attempt to accept the offer on different terms instead creates a counter-offer, and this constitutes a rejection of the original offer."
Mistake (contract law),"In contract law, a mistake is an erroneous belief, at contracting, that certain facts are true.  It can be argued as a defense, and if raised successfully, can lead to the agreement in question being found void ab initio or voidable, or alternatively, an equitable remedy may be provided by the courts. Common law has identified three different types of mistake in contract: the 'unilateral mistake', the 'mutual mistake', and the 'common mistake'.  The distinction between the 'common mistake' and the 'mutual mistake' is important.
Another breakdown in contract law divides mistakes into four traditional categories: unilateral mistake, mutual mistake, mistranscription, and misunderstanding.
The law of mistake in any given contract is governed by the law governing the contract.  The law from country to country can differ significantly. For instance, contracts entered into under a relevant mistake have not been voidable in English law since Great Peace Shipping Ltd v Tsavliris (International) Ltd (2002).

"
Mootness,"The terms moot, mootness and moot point are used both in English and in American law, although with significantly different meanings.
In the legal system of the United States, a matter is ""moot"" if further legal proceedings with regard to it can have no effect, or events have placed it beyond the reach of the law. Thereby the matter has been deprived of practical significance or rendered purely academic.
The U.S. development of this word stems from the practice of moot courts, in which hypothetical or fictional cases were argued as a part of legal education. These purely academic settings led the U.S. courts to describe cases where developing circumstances made any judgment ineffective as ""moot"".
The mootness doctrine can be compared to the ripeness doctrine, another court rule (rather than law), that holds that judges should not rule on cases based entirely on anticipated disputes or hypothetical facts. These rules and similar doctrines, taken together, prevent the federal courts of the United States from issuing advisory opinions, as required by the Case or Controversy Clause of the United States Constitution.
The usage in the British legal system, on the other hand, is that the term ""moot"" has the meaning of ""remains open to debate"" or ""remains unresolved"". The divergence in usage was first observed in the United States, and the extent to which the U.S. definition is used in U.S. jurisprudence and public discourse has ensured it is rarely used in a British courtroom. This is partially to avoid ambiguity, but also because the British definition is rarely relevant in practical cases."
Moral certainty,"Moral certainty is a concept of intuitive probability. It means a very high degree of probability, sufficient for action, but short of absolute or mathematical certainty."
Mosaic theory (US law),"The mosaic theory is a legal doctrine in American courts for considering issues of information collection, government transparency, and search and seizure, especially in cases involving invasive or large-scale data collection by government entities. The theory takes its name from mosaic tile art: while an entire picture can be seen from a mosaic's tiles at a distance, no clear picture emerges from viewing a single tile in isolation. The mosaic theory calls for a cumulative understanding of data collection by law enforcement and analyzes searches ""as a collective sequence of steps rather than individual steps."" 
Although the doctrine was first used in cases about national security, five justices of the US Supreme Court authored concurring opinions supporting a new Fourth Amendment framework for judging whether or not an individual has been subjected to an unlawful search, in United States v. Jones (2012). Under this framework, the US government's actions should be considered collectively rather than independently for determining whether or not the acts constitute a search under the Fourth Amendment. It requires that police action is considered ""over time as a collective 'mosaic' of surveillance,"" and allows that cumulative mosaic to qualify as a protected Fourth Amendment search, even if the individual steps that contribute to the full picture do not reach that constitutional threshold in isolation. 
Critics of the Fourth Amendment use of mosaic theory argue that it is difficult to administer and inconsistent with other Fourth Amendment jurisprudence. Proponents, on the other hand, argue that mosaic theory is a much-needed development in light of new technologies that allow law enforcement officers to collect large volumes of personal data with little effort. Human rights workers and legal scholars have been critical of how mosaic theory in national security cases undermines civil rights. They argue that when government agencies claim that any scrap of information is part of a larger intelligence mosaic, those agencies get free rein to determine what of their work will be kept secret. This method is used by American intelligence analysts."
Mount Laurel doctrine,"The Mount Laurel doctrine is a significant judicial doctrine of the New Jersey State Constitution. The doctrine requires that municipalities use their zoning powers in an affirmative manner to provide a realistic opportunity for the production of housing affordable to low- and moderate-income households.
The doctrine takes its name from the lead case in which it was first pronounced by the New Jersey Supreme Court in 1975: Southern Burlington County N.A.A.C.P. v. Mount Laurel Township (commonly called Mount Laurel I), in which the plaintiffs challenged the zoning ordinance of Mount Laurel Township, New Jersey, on the grounds that it operated to exclude low and moderate income persons from obtaining housing in the municipality.

"
Natural justice,"In English law, natural justice is technical terminology for the rule against bias (nemo iudex in causa sua) and the right to a fair hearing (audi alteram partem). While the term natural justice is often retained as a general concept, it has largely been replaced and extended by the general ""duty to act fairly"".
The basis for the rule against bias is the need to maintain public confidence in the legal system. Bias can take the form of actual bias, imputed bias, or apparent bias. Actual bias is very difficult to prove in practice whereas imputed bias, once shown, will result in a decision being void without the need for any investigation into the likelihood or suspicion of bias. Cases from different jurisdictions currently apply two tests for apparent bias: the ""reasonable suspicion of bias"" test and the ""real likelihood of bias"" test. One view that has been taken is that the differences between these two tests are largely semantic and that they operate similarly.
The right to a fair hearing requires that individuals should not be penalized by decisions affecting their rights or legitimate expectations unless they have been given prior notice of the case, a fair opportunity to answer it, and the opportunity to present their own case. The mere fact that a decision affects rights or interests is sufficient to subject the decision to the procedures required by natural justice. In Europe, the right to a fair hearing is guaranteed by Article 6(1) of the European Convention on Human Rights, which is said to complement the common law rather than replace it."
Natural rights and legal rights,"Some philosophers distinguish two types of rights, natural rights and legal rights.

Natural rights are those that are not dependent on the laws or customs of any particular culture or government, and so are universal, fundamental and inalienable (they cannot be repealed by human laws, though one can forfeit their enjoyment through one's actions, such as by violating someone else's rights). Natural law is the law of natural rights.
Legal rights are those bestowed onto a person by a given legal system (they can be modified, repealed, and restrained by human laws). The concept of positive law is related to the concept of legal rights.
Natural law first appeared in ancient Greek philosophy, and was referred to by Roman philosopher Cicero. It was subsequently alluded to in the Bible, and then developed in the Middle Ages by Catholic philosophers such as Albert the Great, his pupil Thomas Aquinas, and Jean Gerson in his 1402 work ""De Vita Spirituali Animae."" During the Age of Enlightenment, the concept of natural laws was used to challenge the divine right of kings, and became an alternative justification for the establishment of a social contract, positive law, and government – and thus legal rights – in the form of classical republicanism. Conversely, the concept of natural rights is used by others to challenge the legitimacy of all such establishments.
The idea of human rights derives from theories of natural rights. Those rejecting a distinction between human rights and natural rights view human rights as the successor that is not dependent on natural law, natural theology, or Christian theological doctrine. Natural rights, in particular, are considered beyond the authority of any government or international body to dismiss. The 1948 United Nations Universal Declaration of Human Rights is an important legal instrument enshrining one conception of natural rights into international soft law. Natural rights were traditionally viewed as exclusively negative rights, whereas human rights also comprise positive rights. Even on a natural rights conception of human rights, the two terms may not be synonymous.
The concept of natural rights is not universally accepted, partly due to its religious associations and perceived incoherence. Some philosophers argue that natural rights do not exist and that legal rights are the only rights; for instance, Jeremy Bentham called natural rights ""simple nonsense"". Iusnaturalism, particularly, holds that legal norms follow a human universal knowledge. Thus, it views enacted laws that contradict such universal knowledge as unjust and illegitimate, but some jusnaturalists might attribute the source of natural law to a natural order instead of a divine mandate."
Necessity (criminal law),"In the criminal law of many nations, necessity may be either a possible justification or an exculpation for breaking the law. Defendants seeking to rely on this defense argue that they should not be held liable for their actions as a crime because their conduct was necessary to prevent some greater harm and when that conduct is not excused under some other more specific provision of law such as self defense. As a matter of political expediency, states usually allow some classes of person to be excused from liability when they are engaged in socially useful functions but intentionally cause injury, loss or damage. 
For example, drunk drivers might contend that they drove their car to get away from being kidnapped (cf. North by Northwest).  Most common law and civil law jurisdictions recognize this defense, but only under limited circumstances. Generally, the defendant must affirmatively show (i.e., introduce some evidence) that (a) the harm they sought to avoid outweighs the danger of the prohibited conduct they are charged with; (b) they had no reasonable alternative; (c) they ceased to engage in the prohibited conduct as soon as the danger passed; and (d) they themselves did not create the danger they sought to avoid.  Thus, with the ""drunk driver"" example cited above, the necessity defense will not be recognized if the defendant drove further than was reasonably necessary to get away from the kidnapper, or if some other reasonable alternative was available to them.
For another example, the fire services and other civil defence organizations have a general duty to keep the community safe from harm. If a fire or flood is threatening to spread out of control, it may be reasonably necessary to destroy other property to form a fire break, or to trespass on land to throw up mounds of earth to prevent the water from spreading. 
These examples have the common feature of individuals intentionally breaking the law because they believe it to be urgently necessary to protect others from harm, but some states distinguish between a response to a crisis arising from an entirely natural cause (an inanimate force of nature), e.g. a fire from a lightning strike or rain from a storm, and a response to an entirely human crisis. Thus, parents who lack the financial means to feed their children cannot use necessity as a defense if they steal food. The existence of welfare benefits and strategies other than self-help defeat the claim of an urgent necessity that cannot be avoided in any way other than by breaking the law. 
Further, some states apply a test of proportionality, where the defense would only be allowed where the degree of harm actually caused was a reasonably proportionate response to the degree of harm threatened. This is a legal form of cost–benefit analysis."
Negligence,"Negligence (Lat. negligentia) is a failure to exercise appropriate care expected to be exercised in similar circumstances. 
Within the scope of tort law, negligence pertains to harm caused by the violation of a duty of care through a negligent act or failure to act. The concept of negligence is linked to the obligation of individuals to exercise reasonable care in their actions and to consider foreseeable harm that their conduct might cause to other people or property. The elements of a negligence claim include the duty to act or refrain from action, breach of that duty, actual and proximate cause of harm, and damages. Someone who suffers loss caused by another's negligence may be able to sue for damages to compensate for their harm. Such loss may include physical injury, harm to property, psychiatric illness, or economic loss."
Nemo iudex in causa sua,"Nemo judex in causa sua (IPA: [ˈne.mo ˈju.dɛks in ˈkau̯.sa ˈsua]; also written as nemo [est] judex in sua causa, in propria causa, in re sua or in parte sua) is a Latin brocard that translates as ""no one is judge in his own case"". Originating from Roman law, it was crystallized into a phrase by Edward Coke in the 17th century and is now widely regarded as a fundamental tenet of natural justice and constitutionalism. It states that no one can judge a case in which they have an interest. In some jurisdictions, the principle is strictly enforced to avoid any appearance of bias, even when there is none: as Lord Chief Justice Hewart laid down in Rex v. Sussex Justices, ""Justice must not only be done, but must also be seen to be done""."
Nolle prosequi,"Nolle prosequi, abbreviated nol or nolle pros, is legal Latin meaning ""to be unwilling to pursue"". It is a type of prosecutorial discretion in common law, used for prosecutors' declarations that they are voluntarily ending a criminal case before trial or before a verdict is rendered; it is a kind of motion to dismiss and contrasts with an involuntary dismissal."
Nominative use,"Nominative use, also ""nominative fair use"", is a legal doctrine that provides an affirmative defense to trademark infringement as enunciated by the United States Ninth Circuit, by which a person may use the trademark of another as a reference to describe the other product, or to compare it to their own. Nominative use may be considered to be either related to, or a type of ""trademark fair use"" (sometimes called ""classic fair use"" or ""statutory fair use"").  All ""trademark fair use"" doctrines, however classified, are distinct from the fair use doctrine in copyright law.  However, the fair use of a trademark may be protected under copyright laws depending on the complexity or creativity of the mark as a design logo.
The nominative use test essentially states that one party may use or refer to the trademark of another if:

The product or service cannot be readily identified without using the trademark (e.g. trademark is descriptive of a person, place, or product attribute).
The user only uses as much of the mark as is necessary for the identification (e.g. the words but not the font or symbol).
The user does nothing to suggest sponsorship or endorsement by the trademark holder.  This applies even if the nominative use is commercial, and the same test applies to metatags.
Furthermore, if a use is found to be nominative, then by the definition of non-trademark uses, it can not dilute the trademark.
Nominative use does not require that ownership of the trademark be acknowledged, for example by use of a sentence such as ""UNIX is a registered trademark of The Open Group"". Such statements may, however, be required by the terms of a license agreement between the parties, and they may be prudent (and courteous) as a way of preventing misunderstandings or allegations of passing off."
Non bis in idem,"Non bis in idem (sometimes rendered non-bis in idem or ne bis in idem), which translates literally from Latin as 'not twice in the same [thing]', is a legal doctrine to the effect that no legal action can be instituted twice for the same cause of action. It is a legal concept originating in Roman civil law, but it is essentially the equivalent of the double jeopardy doctrine found in common law jurisdictions, and similar peremptory plea (autrefois acquit/convict, 'previously acquitted/convicted') in some modern civil law countries.
The International Covenant on Civil and Political Rights guarantees the right to be free from double jeopardy; however, it does not apply to prosecutions by two different sovereigns (unless the relevant extradition treaty or other agreement between the countries expresses a prohibition). The Rome Statute of the International Criminal Court employs a modified form of non bis in idem."
Non prosequitur,"Non prosequitur (also known as non pros.) is a legal judgment ""against the plaintiff for a neglect to take any of those steps which it is incumbent on him to take in due time."" A non pros judgment is a final judgment, which is only re-opened with cause shown."
Nonacquiescence,"In law, nonacquiescence is the intentional failure by one branch of the government to comply with the decision of another to some degree.  It tends to arise only in governments that feature a strong separation of powers, such as in the United States, and is much rarer in governments where such powers are partly or wholly fused. Nonacquiescence may lead to a constitutional crisis, given certain critical situations and decisions."
Nondelegation doctrine,"The doctrine of nondelegation (or non-delegation principle) is the theory that one branch of government must not authorize another entity to exercise the power or function which it is constitutionally authorized to exercise itself. It is explicit or implicit in all written constitutions that impose a strict structural separation of powers. It is usually applied in questions of constitutionally improper delegations of powers of any of the three branches of government to either of the other, to the administrative state, or to private entities. Although it is usually constitutional for executive officials to delegate executive powers to executive branch subordinates, there can also be improper delegations of powers within an executive branch.
In the United Kingdom, the non-delegation principle refers to the prima facie presumption that statutory powers granted to public bodies by Parliament cannot be delegated to other people or bodies."
Notice of violation (US),"Notices of violation are issued from Code Enforcement by local cities or towns when properties may be contrary to local codes and regulation, vehicles are substandard, inoperable or may have constituted a public nuisance. The ordinances under which violation notices or statements are performed vary from one country to another and between cities within a country or states."
Nulla poena sine culpa,"Nulla poena sine culpa (Latin for ""no punishment without fault"" or ""no punishment without culpability"") or the guilt principle is a legal principle requiring that one cannot be punished for something that they are not guilty of. It is recognized as a human right by the Court of Justice of the European Union and all Council of Europe member states. Under this principle, a person can not be punished if he or she is not guilty. Cases of force majeure or necessity are exempted from criminal responsibility. Furthermore, it establishes that no one can be liable for the crimes committed by another person."
Nulla poena sine lege,"Nulla poena sine lege (Latin for ""no penalty without law"", Anglicized pronunciation:  NUL-ə PEE-nə SY-nee LEE-jee) is a legal formula which, in its narrow interpretation, states that one can only be punished for doing something if a penalty for this behavior is fixed in criminal law. As some laws are unwritten (e.g. in oral law or customary law) and laws can be interpreted broadly, it does not necessarily mean that an action will not be punished simply because a specific rule against it is not codified.
The variant nullum crimen sine lege (""no crime without law"") establishes that conduct is not criminal if not found among the behavior/circumstance combinations of a statute. The other interpretations of the formula include the rules prohibiting retroactive criminalization and prescribing laws to be strictly construed.
Despite the use of Latin language and brocard-like appearance, the formula was mostly born in 18th century liberalism (some elements of non-retroactivity of laws and limiting the punishment to the one prescribed in the statute date back to Roman times). This principle is accepted and codified in modern democratic states as a basic requirement of the rule of law. It has been described as ""one of the most 'widely held value-judgement[s] in the entire history of human thought'"".

"
Nuremberg principles,"The Nuremberg principles are a set of guidelines for determining what constitutes a war crime. The document was created by the International Law Commission of the United Nations to codify the legal principles underlying the Nuremberg Trials of Nazi party members following World War II.

"
Obiter dictum,"Obiter dictum (usually used in the plural, obiter dicta) is a Latin phrase meaning ""said in passing"", that is, any remark in a legal opinion that is ""said in passing"" by a judge or arbitrator. It is a concept derived from English common law, whereby a judgment comprises only two elements: ratio decidendi and obiter dicta. For the purposes of judicial precedent, ratio decidendi is binding, whereas obiter dicta are persuasive only."
Odious debt,"In international law, odious debt, also known as illegitimate debt, is a legal theory that says that the national debt incurred by a despotic regime should not be enforceable. Such debts are, thus, considered by this doctrine to be personal debts of the government that incurred them and not debts of the state. In some respects, the concept is analogous to the invalidity of contracts signed under coercion. Whether or not it is possible to discharge debts in this manner is a matter of dispute."
Open court principle,"The open court principle requires that court proceedings presumptively be open and accessible to the public and to the media.
In contrast, in camera describes court proceedings where the public and press are not allowed to observe the procedure or process."
Open-fields doctrine,"The open-fields doctrine (also open-field doctrine or open-fields rule), in the U.S. law of criminal procedure, is the legal doctrine that a ""warrantless search of the area outside a property owner's curtilage"" does not violate the Fourth Amendment to the United States Constitution. However, ""unless there is some other legal basis for the search,"" such a search ""must exclude the home and any adjoining land (such as a yard) that is within an enclosure or otherwise protected from public scrutiny."""
Open justice,"Open justice is a legal principle that requires that judicial proceedings be conducted in a transparent manner and with the oversight of the people, so as to safeguard the rights of those subject to the power of the court and to allow for the scrutiny of the public in general. The term has particular emphasis in legal systems based on British law, such as in the United Kingdom, Commonwealth countries such as South Africa and Canada and Australia, and former British colonies such as the United States. The term has several closely related meanings: it is seen as a fundamental right guaranteeing liberty; it describes guidelines for how courts can be more transparent; and it sometimes identifies an ideal situation. In a courtroom, it means steps to promote transparency such as letting the public see and hear trials as they happen in real time, televising trials as they happen, videotaping proceedings for later viewing, publishing the content and documents of court files, providing transcripts of statements, making past decisions available for review in an easy-to-access format, publishing decisions, and giving reporters full access to files and participants so they can report what happens. The principle includes efforts to try to make what happens in the court understandable to the public and the press.
In Canada, open justice is referred to as the open court principle."
Open mines doctrine,"The open mines doctrine is a term of real property. Under the open mines doctrine, depletion of natural resources constitutes waste unless consumption of such resources constitutes normal use of the land, as in the case of a life estate in coal mine or a granite quarry. 
The life tenant cannot open the land to search for minerals and other natural resources, but if the quarries or mines were open before the tenant took the life estate, then it is not waste for the life tenant to continue their use.  Where the life tenant opens the land for new mines (i.e., voluntary waste) a remainderman can enjoin such.
The sale of harvestable crops does not constitute waste, inasmuch as they can be regrown and are thus generally not considered “natural resources”."
Pacta sunt servanda,"Pacta sunt servanda (""agreements must be kept."") is a brocard and a fundamental principle of law which holds that treaties or contracts are binding upon the parties that entered into the treaty or contract. It is customary international law. According to Hans Wehberg, a professor of international law, ""few rules for the ordering of Society have such a deep moral and religious influence"" as this principle.
In its most common sense, the principle refers to private contracts and prescribes that the provisions, i.e. clauses, of a contract are law between the parties to the contract, and therefore implies that neglect of their respective obligations is a violation of the contract. The first known expression of the brocard is in the writings of the canonist Cardinal Hostiensis from the 13th century AD, which were published in the 16th."
Paraphrasing of copyrighted material,"Paraphrasing of copyrighted material may, under certain circumstances, constitute copyright infringement. In most countries that have national copyright laws, copyright applies to the original expression in a work rather than to the meanings or ideas being expressed. Whether a paraphrase is an infringement of expression, or a permissible restatement of an idea, is not a binary question but a matter of degree. Copyright law in common law countries tries to avoid theoretical discussion of the nature of ideas and expression such as this, taking a more pragmatic view of what is called the idea/expression dichotomy. The acceptable degree of difference between a prior work and a paraphrase depends on a variety of factors and ultimately depends on the judgement of the court in each individual case.

"
Parker immunity doctrine,"The Parker immunity doctrine is an exemption from liability for engaging in antitrust violations.  It applies to the state when it exercises legislative authority in creating a regulation with anticompetitive effects, and to private actors when they act at the direction of the state after it has done so.  The doctrine is named for the Supreme Court of the United States case in which it was initially developed, Parker v. Brown.
The rationale behind Parker immunity is that Congress, in enacting the Sherman Act, evidenced no intent to restrain state behavior."
Parol evidence rule,"The parol evidence rule is a rule in common law jurisdictions limiting the kinds of evidence parties to a contract dispute can introduce when trying to determine the specific terms of a contract and precluding parties who have reduced their agreement to a final written document from later introducing other evidence, such as the content of oral discussions from earlier in the negotiation process, as evidence of a different intent as to the terms of the contract.  The rule provides that ""extrinsic evidence is inadmissible to vary a written contract"". The term ""parol"" derives from the Anglo-Norman French parol or parole, meaning ""word of mouth"" or ""verbal"", and in medieval times referred to oral pleadings in a court case.
The rule's  origins lie in English contract law, but it has been adopted in other common law jurisdictions; however there are now some differences between application of the rule in different jurisdictions. For instance, in the US, a common misconception is that it is a rule of evidence (like the Federal Rules of Evidence), but that is not the case; whereas in England it is indeed a rule of evidence.
The supporting rationale for excluding the content of verbal agreements from written contracts is that since the contracting parties have agreed to reduce their contract to a single and final writing, extrinsic evidence of past agreements or terms should not be considered when interpreting that writing, as the parties ultimately decided to leave them out of the contract. In other words, one may not use evidence made prior to the written contract to contradict the writing.

"
Peremptory norm,"A peremptory norm (also called jus cogens) is a fundamental principle of international law that is accepted by the international community of states as a norm from which no derogation is permitted.
There is no universal agreement regarding precisely which norms are jus cogens nor how a norm reaches that status, but it is generally accepted that jus cogens bans genocide, maritime piracy, enslaving in general (i.e. slavery as well as slave trade), wars of aggression and territorial aggrandizement, and generally as well torture, and refoulement."
Physical proximity doctrine,"The physical proximity doctrine is a standard in criminal law for distinguishing between preparation and attempt.: 683  ""Physical"" refers to the physical element of a criminal act (actus reus), as distinguished from the mental element of a guilty mind (mens rea). When a person makes preparation to commit a crime, and one of the preparatory acts is close or proximate to the completed crime, the preparation is considered to have merged into being an actual attempt.: 683  The standard is not a clear bright line standard.: 683  The closer the preparatory act is to the completed crime, the stronger the case for calling it an attempt.: 683  The determination as to whether the standard has been met is a matter for the jury to determine."
Pith and substance,"Pith and substance is a legal doctrine in Canadian constitutional interpretation used to determine under which head of power a given piece of legislation falls. The doctrine is primarily used when a law is challenged on the basis that one level of government (be it provincial or federal) has encroached upon the exclusive jurisdiction of another level of government. 
The Constitution Act, 1867, which established a federal constitution for Canada, enumerated in Sections 91 and 92 the topics on which the Dominion and the Provinces could respectively legislate. Notwithstanding that the lists were framed so as to be fairly full and comprehensive, soon it was found that the topics enumerated in the two sections overlapped, and the Privy Council repeatedly had to rule on the constitutionality of laws made by the federal and provincial legislatures. It was in this situation that the Privy Council evolved the doctrine that, for deciding whether an impugned legislation was intra vires (within its powers), regard must be had to its pith and substance.
Thus, if a statute is found in substance to relate to a topic within the competence of the legislature, it should be held to be intra vires even though it might incidentally trench on topics not within its legislative competence. The extent of the encroachment on matters beyond its competence may be an element in determining whether the legislation is colourable: whether in the guise of making a law on a matter within its competence, the legislature is, in truth, making a law on a subject beyond its competence. However, where that is not the position, the fact of encroachment does not affect the vires of the law even as regards the area of encroachment.

"
Plain meaning rule,"The plain meaning rule, also known as the literal rule, is one of three rules of statutory construction traditionally applied by English courts. The other two are the ""mischief rule"" and the ""golden rule"".
The plain meaning rule dictates that statutes are to be interpreted using the ordinary meaning of the language of the statute. In other words, a statute is to be read word for word and is to be interpreted according to the ordinary meaning of the language, unless a statute explicitly defines some of its terms otherwise or unless the result would be cruel or absurd.  Ordinary words are given their ordinary meaning, technical terms are given their technical meaning, and local, cultural terms are recognized as applicable. The plain meaning rule is the mechanism that prevents courts from taking sides in legislative or political issues. Additionally, it is the mechanism that underlies textualism and, to a certain extent, originalism."
Police power (United States constitutional law),"In United States constitutional law, the police power is the capacity of the states and the federal government to regulate behavior and enforce order within their territory for the betterment of the health, safety, morals, and general welfare of their inhabitants. Police power is defined in each jurisdiction by the legislative body, which determines the public purposes that need to be served by legislation. Under the Tenth Amendment to the United States Constitution, the powers not delegated to the federal government are reserved to the states or to the people. As a result, the police power is primarily concentrated within state governments, while the federal government possesses it in limited contexts where it has an express power, such as over conduct occurring within the territories of the United States and activities related to interstate commerce.
Police power is exercised by the legislative and executive branches of the various states through the enactment and enforcement of laws and regulations. States have the power to compel obedience to these laws through whatever measures they see fit, provided these measures do not infringe upon any of the rights protected by the United States Constitution or their own state constitutions and are not unreasonably arbitrary or oppressive. Methods of enforcement can include legal sanctions and physical means. Controversies over the exercise of state police power can arise when exercise by state authorities conflicts with individual rights and freedoms. 
Most criminal cases are prosecuted in the name of the governmental authority that promulgates criminal statutes and enforces the police power of the state with the goal of seeking criminal sanctions."
